基金代码,基金名称,赛道归类,持有份额,买入日期,持仓成本（元）,持仓市值,备注,累计收益（元）
000218,国泰黄金ETF联接A,周期,3974.8212062425805,,15820.0,13727.84,金选指数基金,-2092.16
026155,红土创新新科技股票C,其他,759.8197956546124,,8999.99,6231.89,持有/累计收益被弹窗遮挡，为估算值,-2768.1
008987,广发上海金ETF联接C,周期,991.418040543906,,2000.0,1990.47,黄金类,-9.53
018816,方正富邦核心优势混合C,其他,1058.1196142798522,,3000.0,2062.91,,-937.09
021528,财通成长优选混合C,其他,264.14996288047513,,1500.0,1067.43,,-432.57
022807,创金合信恒睿90天持有期债券A,其他,4786.436803505096,,5000.0,5025.28,稳健理财,25.28
014978,华安纳斯达克100ETF联接(QDII)C,美股,23.691706579279053,,190.0,187.97,定投/金选指数基金,-2.03
009995,嘉实创新先锋混合C,其他,659.6714484035168,,2000.0,1425.55,,-574.45
020357,华夏半导体材料设备ETF联接C,半导体,2444.8698173741363,,10408.04,7925.29,,-2482.75
017811,东方人工智能主题混合C,半导体,2494.630367280369,,9311.43,7953.63,,-1357.8
