基金代码,基金名称,赛道归类,持有份额,买入日期,持仓成本（元）,持仓市值,备注,累计收益（元）
000218,国泰黄金ETF联接A,周期,3974.821206242581,,15820.0,13727.84,金选指数基金,-2092.16
026155,红土创新新科技股票C,其他,759.8197956546124,,8999.99,6231.89,"持有/累计收益被弹窗遮挡,为估算值",-2768.1
008987,广发上海金ETF联接C,周期,991.418040543906,,2000.0,1990.47,黄金类,-9.53
018816,方正富邦核心优势混合C,其他,1058.1196142798522,,3000.0,2062.91,,-937.09
021528,财通成长优选混合C,其他,264.1499628804752,,1500.0,1067.43,,-432.57
022807,创金合信恒睿90天持有期债券A,其他,4786.436803505096,,5000.0,5025.28,稳健理财,25.28
014978,华安纳斯达克100ETF联接(QDII)C,美股,23.691706579279053,,190.0,187.97,定投/金选指数基金,-2.03
009995,嘉实创新先锋混合C,其他,659.6714484035168,,2000.0,1425.55,,-574.45
020357,华夏半导体材料设备ETF联接C,半导体,2444.8698173741363,,10408.04,7925.29,,-2482.75
017811,东方人工智能主题混合C,半导体,2494.630367280369,,9311.43,7953.63,,-1357.8
024535,平安科技精选混合C,其他,12538.475902543129,,22000.0,14100.77,,-7899.23
011452,华泰柏瑞质量成长混合C,其他,4500.950093596581,,18457.47,12743.54,,-5130.86
017641,摩根标普500指数(QDII)A,美股,917.4430884768834,,1490.0,1563.69,定投/金选指数基金,73.69
002839,华夏新锦程灵活配置混合C,其他,3514.225673823664,,7000.0,3846.32,,-3153.68
025500,东方阿尔法科技智选混合C,其他,2541.818410938189,,5149.31,4034.12,,-1115.19
019172,摩根纳斯达克100指数(QDII)A,美股,962.7134287032763,,1590.0,1668.96,定投,78.96
018043,天弘纳斯达克100指数(QDII)A,美股,476.5451112877584,,890.0,959.19,定投,69.19
007721,天弘标普500(QDII-FOF)A,美股,152.0303218370423,,330.0,342.95,定投,12.95
016452,南方纳斯达克100指数(QDII)A,美股,83.00953726598375,,190.0,188.0,定投,-2.0
012922,易方达全球成长精选混合(QDII)C,美股,10.109074553019228,,50.0,35.96,,-14.04
026633,平安半导体领航精选混合C,半导体,1089.9779662148628,,2000.0,1632.46,,-367.54
024418,华夏上证科创板半导体材料设备主题ETF联接C,半导体,1201.3819543509271,,3540.95,2694.94,,-846.01
017745,嘉实绿色主题股票发起式C,半导体,0.0,,0.0,0.0,,
