基金代码,基金名称,持有份额,买入日期,持仓成本（元）,最新净值,净值日期,持仓市值,持有收益（元）,持有收益率（%）,备注,累计收益（元）,仓位占比,近60日收益率,近60日最大回撤,近60日波动率,综合得分,目标市值,指令,指令来源,操作理由,赛道归类,卖出份额,目标仓位,建议操作
000218,国泰黄金ETF联接A,3974.821206242581,,15820.0,3.4537,2026-09-03,13727.840000000002,-2092.159999999998,-13.224778761061934,金选指数基金,-2092.16,0.288410542738327,0.0665822550260955,-0.07665382239609386,0.21557284367765905,86.86,2115.961300000001,减仓,总仓位上限|赛道超限,总权益仓位超过85%，等比例降仓至上限；周期赛道仓位超过8%，优先减仓得分最低品种,周期,3362.16,0.04445459350825011,减仓
026155,红土创新新科技股票C,759.8197956546124,,8999.99,8.2018,2026-09-03,6231.89,-2768.0999999999995,-30.756700840778706,持有/累计收益被弹窗遮挡，为估算值,-2768.1,0.1309268448048311,-0.1834048526966616,-0.43757186661556147,0.7155005173418855,-20.96,0.0,赎回,总仓位上限|赛道超限,总权益仓位超过85%，等比例降仓至上限；其他赛道仓位超过8%，优先减仓得分最低品种,其他,759.8197956546124,0.0,赎回
008987,广发上海金ETF联接C,991.418040543906,,2000.0,2.0077,2026-09-03,1990.47,-9.529999999999973,-0.47649999999999865,黄金类,-9.53,0.04181812528441166,0.06923363689620277,-0.07840461025174406,0.2300590418791854,88.3,1691.8995,减仓,总仓位上限,总权益仓位超过85%，等比例降仓至上限,周期,148.72,0.035545406491749906,减仓
018816,方正富邦核心优势混合C,1058.1196142798522,,3000.0,1.9496,2026-09-03,2062.91,-937.0900000000001,-31.236333333333338,,-937.09,0.043340029656546264,-0.09062922710947341,-0.48640770546860146,0.8184125419812969,-9.32,0.0,赎回,总仓位上限|赛道超限,总权益仓位超过85%，等比例降仓至上限；其他赛道仓位超过8%，优先减仓得分最低品种,其他,1058.1196142798522,0.0,赎回
021528,财通成长优选混合C,264.1499628804752,,1500.0,4.041,2026-09-03,1067.4300000000003,-432.5699999999997,-28.83799999999998,,-432.57,0.02242581976736125,-0.13505993150684914,-0.4109404018234003,0.7706650369922365,-16.43,0.0,赎回,总仓位上限|赛道超限,总权益仓位超过85%，等比例降仓至上限；其他赛道仓位超过8%，优先减仓得分最低品种,其他,264.1499628804752,0.0,赎回
022807,创金合信恒睿90天持有期债券A,4786.436803505096,,5000.0,1.0499,2026-09-03,5025.280000000001,25.280000000000655,0.505600000000013,稳健理财,25.28,0.1055769685698595,0.004688995215311076,-0.00038109756097581826,0.0024102773665568653,1230.39,3807.8608000000004,减仓,总仓位上限|赛道超限,总权益仓位超过85%，等比例降仓至上限；其他赛道仓位超过8%，优先减仓得分最低品种,其他,1159.56,0.08,减仓
014978,华安纳斯达克100ETF联接(QDII)C,23.691706579279053,,190.0,7.934,2026-09-02,187.97,-2.030000000000001,-1.0684210526315796,定投/金选指数基金,-2.03,0.003949093937467462,0.010160169081510517,-0.11376404494382018,0.23420783573998957,8.93,159.7745,减仓,总仓位上限,总权益仓位超过85%，等比例降仓至上限,美股,3.56,0.0033567298468473424,减仓
009995,嘉实创新先锋混合C,659.6714484035168,,2000.0,2.161,2026-09-03,1425.55,-574.45,-28.7225,,-574.45,0.029949624208952173,-0.10298451703955835,-0.3757025370717303,0.6472980513363411,-13.71,0.0,赎回,总仓位上限|赛道超限,总权益仓位超过85%，等比例降仓至上限；其他赛道仓位超过8%，优先减仓得分最低品种,其他,659.6714484035168,0.0,赎回
020357,华夏半导体材料设备ETF联接C,2444.8698173741363,,10408.04,3.2416,2026-09-03,7925.290000000001,-2482.75,-23.854155057052047,,-2482.75,0.1665037755581822,0.008556049905105612,-0.3655203875480634,0.7412622004101622,2.34,5138.979500000002,减仓,总仓位上限|赛道超限,总权益仓位超过85%，等比例降仓至上限；半导体赛道仓位超过25%，优先减仓得分最低品种,半导体,859.55,0.10796570084704782,减仓
017811,东方人工智能主题混合C,2494.630367280369,,9311.43,3.1883,2026-09-03,7953.629999999999,-1357.800000000001,-14.582078155557213,,-1357.8,0.16709917547406142,0.14604601006470164,-0.34802375208758585,0.7871681886122339,41.96,5711.7912,减仓,总仓位上限|单基超限,总权益仓位超过85%，等比例降仓至上限；单基金仓位超过12%，减仓至上限以内,半导体,703.15,0.11999999999999998,减仓
