基金代码,基金名称,赛道归类,持有份额,买入日期,持仓成本（元）,持仓市值,备注,累计收益（元）
017745,嘉实绿色主题股票C,半导体,95404.73,2026-08-03,0.0,210491.46,,
017811,东方人工智能主题混合C,半导体材料设备,63224.87,2026-08-31,0.0,207107.82,,
021528,财通成长优选混合C,PCB,21802.84,2026-08-31,0.0,90801.06,,
008984,财通科技创新混合C,CPO,36781.68,2026-08-25,0.0,64735.76,,
004320,前海开源沪港深乐享生活灵活配置混合,CPO,9423.29,2026-08-18,0.0,59395.94,,
011452,华泰柏瑞质量成长混合C,CPO,17742.45,2026-08-28,0.0,59156.99,,
016371,信澳业绩驱动混合C,CPO,18286.41,2026-09-01,0.0,53938.31,,
015790,永赢高端装备智选混合C,商业航天,40622.24,2026-08-31,0.0,48668.78,,
025209,永赢先锋半导体智选混合C,存储芯片,20783.99,2026-08-17,0.0,48455.79,,
020137,平安医疗健康混合C,港创新药,20823.15,2026-08-25,0.0,47460.12,,
010524,银华中证5G通信主题ETF联接C,5G通信,20140.27,2026-07-15,0.0,44443.53,,
006503,财通集成电路产业股票C,PCB,6834.88,2026-08-14,0.0,44354.95,,
016874,广发远见智选混合C,算力租赁,20034.0,2026-01-01,0.0,36420.56,,
017437,华宝纳斯达克精选股票(QDII)C,美股,14372.33,2026-08-19,0.0,34175.34,,
007639,汇添富竞争优势灵活配置混合,半导体材料设备,13460.0,2026-08-19,0.0,32485.71,,
016453,南方纳斯达克100指数(QDII)C,美股,13387.84,2026-08-19,0.0,30161.49,,
024239,华夏全球科技先锋混合(QDII)C,美股,10478.31,2026-08-19,0.0,29780.79,,
015060,华夏节能环保股票C,MLCC指数,10104.93,2026-08-19,0.0,27807.76,,
017654,创金合信全球芯片产业股票(QDII)C,半导体,10679.07,2026-08-19,0.0,22389.74,,
016531,鹏华碳中和主题混合C,机器人,11486.35,2026-08-19,0.0,21402.67,,
290008,泰信发展主题混合,锂矿,10566.57,2026-08-19,0.0,19178.32,,
009505,富国上海金ETF联接A,黄金,8801.08,2026-08-19,0.0,18159.78,,
020624,信澳新能源精选混合C,新能源,8897.26,2026-08-19,0.0,15422.93,,
018967,汇添富纳斯达克100ETF联接(QDII)C,美股,8402.84,2026-08-19,0.0,13512.69,,
017436,华宝纳斯达克精选股票(QDII)A,美股,5188.74,2026-08-19,0.0,13358.58,,
006479,广发纳斯达克100ETF联接(QDII)C,美股,1643.08,2026-08-19,0.0,13022.34,,
020425,方正富邦致盛混合C,电网设备,12467.67,2026-08-19,0.0,10094.44,,
020065,西部利得科技创新混合C,算力租赁,6211.18,2026-08-19,0.0,9770.19,,
025857,华夏中证电网设备主题ETF联接C,中证电网设备,8542.63,2026-08-19,0.0,9759.95,,
014002,浦银全球智能科技股票(QDII)C,美股,2193.73,2026-08-19,0.0,7283.84,,
000043,嘉实美国成长股票(QDII),美股,1065.5,2026-08-19,0.0,6996.46,,
011172,广发利鑫灵活配置混合C,CPO,2159.36,2026-08-19,0.0,6814.94,,
016055,博时纳斯达克100ETF联接(QDII)A,美股,2964.39,2026-08-19,0.0,6197.95,,
001770,前海开源嘉鑫灵活配置混合C,机器人,2477.24,2026-08-19,0.0,5274.44,,
008327,东财中证通信技术主题指数C,通信技术,1186.44,2026-08-19,0.0,5004.4,,
011103,天弘中证光伏产业指数C,中证光伏,2805.04,2026-08-19,0.0,3905.25,,
008971,大成纳斯达克100ETF联接(QDII)C,美股,615.63,2026-08-19,0.0,3842.26,,
019525,华泰柏瑞纳斯达克100ETF联接(QDII)C,美股,2045.94,2026-08-19,0.0,3350.51,,
501057,汇添富中证新能源汽车产业指数(LOF)A,新能源,227.66,2026-08-19,0.0,949.61,,
